userName,content,score,at
Soundrvalli Soundrvalli,great job bro,5,2025-04-20 09:11:42
Ashar Ashar,excellent,4,2025-04-20 09:06:19
Abeer Hassan,5/5 I Got The Nostalgia!,5,2025-04-20 09:06:03
Subhash Rony,Good,5,2025-04-20 09:03:57
Shree Ganesh Automobiles,a really good game to play!,5,2025-04-20 08:55:31
Zahra Nakara,it is very nice game interesting and it makes our brain shop,5,2025-04-20 08:52:28
Union Of Miner Worker Republics!,maza lagese bala gam huyhuyhuyhuy,1,2025-04-20 08:52:12
Krish Sujee,subway is my part,5,2025-04-20 08:51:27
Zandre Potgieter,I'm 7 years old and love subway surfers,5,2025-04-20 08:38:25
Bhagyashri Oke,ise accha free fire hai 🔥 ye to poty hai,1,2025-04-20 08:37:16
Dipasmi Tiwari,so entertaining,5,2025-04-20 08:36:49
buddy's kitchen,old is gold 🥂🗿🔥।,5,2025-04-20 08:33:41
Chhaya Meshram,very nice,5,2025-04-20 08:33:17
Shubham Goindani,THE BEST GAME IN THE WORLD,5,2025-04-20 08:31:30
Hassan Kp,🔥,5,2025-04-20 08:12:14
Samima Khatun,this game is ☠️,5,2025-04-20 08:10:15
Poison Dragon,"⭐️⭐️⭐️⭐️⭐️ I've played this game before but in comparison to now, it has greatly improved with player level ups, the number of characters and boards also including the bonus competitions within the game. Also the new places leaves the players rejuvenated. 👍To developers, we'll done on the rewards and the upgrades of all characters.",5,2025-04-20 08:08:23
Tugserdene Tugsuu,nice game,5,2025-04-20 08:04:24
Jaidka Communications,best,5,2025-04-20 07:42:41
patel meet,op game but why is key is not working,5,2025-04-20 07:32:06
Mich Jack,W game,5,2025-04-20 07:23:03
Ida,I love this game so nice game,4,2025-04-20 07:16:21
I Believe Tanzania As well Africa,Its a fun game,5,2025-04-20 07:14:36
Sujithra Babu,the best game ever played,5,2025-04-20 07:01:54
Mohit Sahu,I like this game so much 😍✨,5,2025-04-20 06:56:12
Hanan Reda,the game lags a lot !! what's the reason ?!,1,2025-04-20 06:54:56
Azmat kanwal,it's best and offline 😄,5,2025-04-20 06:53:33
Asha Patil,i love this game I play it for hours,5,2025-04-20 06:49:36
Malik Adelaja,Great game fantabulos game thank u for creating this game,5,2025-04-20 06:48:28
Tiyani Baloyi,I love this game but the only thing annoys me is that it always needs updates and it's so useless 🙄and the updates are the same but with different themes😭that's why I gave it 3 stars,1,2025-04-20 06:46:16
Cs Sarone,I love this game but add some ending,3,2025-04-20 06:42:33
Khema Raj,the best game ever to exist,5,2025-04-20 06:33:16
Stacey,like so fun when bored no internet and very descie well love ittt😍🧑‍🤝‍🧑,5,2025-04-20 06:33:03
Kid Icarus,Taking stealing onto market,1,2025-04-20 06:32:55
anshraj roshan,"This game is my favourite game and i have been playing this game since my childhood the quality , graphics and etc. are excellent and also it's usefull for timepass.So I like this game a lot. Thanks for this game and . Thanks to SYBO Games.😆",5,2025-04-20 06:30:58
Muhammad Luqman,BEST GAME 😍😍😍😍😍😍😍😍😍😍😍😍,5,2025-04-20 06:30:43
C Jonah,It keeps on saying UIL when I press the open button!!!!!!!!!!! I just hate it!!!!!!!!!,1,2025-04-20 06:28:54
aiswarya nair,very cool and fun. when you are bored with normal subway surfers game you can play the event. I am obsessed with this game.,4,2025-04-20 06:27:41
Rifat islam,I like this game this game very beautiful😍,5,2025-04-20 06:22:31
Hafiz Ail,good game,3,2025-04-20 06:15:52
Pawni Busta,better than temple run👍🏻,4,2025-04-20 06:14:13
Neha chauhan 2nd B,very bad game 🎮 😕 didn't like it,2,2025-04-20 06:11:04
Naaz Mudeen,see guys u started playing this game when I was 4 and now I am 11(2025)I still play this game . it is very good try it guyzzz ૮₍ ˃ ⤙ ˂ ₎ა ./づᡕᠵ᠊ᡃ່࡚ࠢ࠘ ⸝່ࠡࠣ᠊߯᠆ࠣ࠘ᡁࠣ࠘᠊᠊ࠢ࠘~~~~♡,5,2025-04-20 06:10:52
Islam Ghouri,good,4,2025-04-20 05:52:55
DANIEL GOWDA,Awesome,5,2025-04-20 05:51:51
Shorif Khan,nice game,5,2025-04-20 05:50:35
Ankush Mondal,no graphics,1,2025-04-20 05:30:10
Pihu Dewangan,vry good,5,2025-04-20 05:28:27
Mya Steele,it's fun even know l I get mad it's fun you don't need no Internet to play. I gave it three stars because they sent me back to old level that already complete,3,2025-04-20 05:22:18
Sonja Reid,It is a very nice and very and good,5,2025-04-20 05:17:08
Anis Khan 8652323046,Amazing 😍🤩,5,2025-04-20 05:09:07
DEMON KING,this is a best game ever,5,2025-04-20 05:04:52
Kashif Associates,It has very beautiful graphics .jdujd,5,2025-04-20 04:48:40
Rajiv Bhunia,😮,5,2025-04-20 04:46:35
Vandana Shelke,very nice 👍🙂 game 👏,5,2025-04-20 04:39:35
